File,Block,Field,GeneralValues,,,,,,,,,,,,,,,,,,,,,,,
.belns,N/A,FileName,,entrez-gene-ids-hmr.belns,hgnc-symbols.belns,mgi-symbols.belns,rgd-symbols.belns,swissprot-entry-names.belns,swissprot-accession-numbers.belns,affymetrix-probeset-ids.belns,mesh-diseases.belns,mesh-biological-processes.belns,disease-ontology-names.belns,selventa-legacy-diseases.belns,go-biological-process-names.belns,go-biological-process-ids.belns,chebi-names.belns,chebi-ids.belns,pubchem-compound-identifiers.belns,selventa-legacy-chemical-names.belns,mesh-cellular-locations.belns,go-cellular-component-ids.belns,go-cellular-component-names.belns,selventa-named-human-complexes.belns,selventa-named-mouse-complexes.belns,selventa-named-rat-complexes.belns
.belns,[Namespace],NameString,,Entrez Gene Identifiers,HGNC Approved Gene Symbols,MGI Approved Gene Symbols,RGD Approved Gene Symbols,Swiss-Prot Entry Names,Swiss-Prot Accession Numbers,Affymetrix Probe Set Identifiers,MeSH Diseases (Names),MeSH Phenomena and Processes (Names),Disease Ontology Names,Selventa Legacy Disease Names,GO Biological Process Names,GO Biological Process Identifiers,Chemicals of Biological Interest (Names),Chemicals of Biological Interest (Identifiers),PubChem Compound Identifiers ,Selventa Legacy Chemical Names,MeSH Cellular Locations (Names),GO Cellular Components (Identifiers),GO Cellular Components (Names),Selventa Named Human Complexes,Selventa Named Mouse Complexes,Selventa Named Rat Complexes
.belns,[Namespace],Keyword,,EGID,HGNC,MGI,RGD,SP,SPAC,AFFX,MESHD,MESHPP,DO,SDIS,GOBP,GOBPID,CHEBI,CHEBIID,CID,SCHEM,MESHCL,GOCCID,GOCC,NCH,NCM,NCR
.belns,[Namespace],DomainString,,Gene and Gene Products,Gene and Gene Products,Gene and Gene Products,Gene and Gene Products,Gene and Gene Products,Gene and Gene Products,Gene and Gene Products,Biological Process,Biological Process,Biological Process,Biological Process,Biological Process,Biological Process,Chemical,Chemical,Chemical,Chemical,Cell Components and Complexes,Cell Components and Complexes,Cell Components and Complexes,Cell Components and Complexes,Cell Components and Complexes,Cell Components and Complexes
.belns,[Namespace],SpeciesString,,"""9606"", ""10090"", ""10116""","""9606""","""10090""","""10116""","""9606"", ""10090"", ""10116""","""9606"", ""10090"", ""10116""","""9606"", ""10090"", ""10116""",all,all,all,all,all,all,all,all,all,all,all,all,all,"'""9606""","""10090""","""10116"""
.belns,[Namespace],DescriptionString,,"NCBI Entrez Gene identifiers for Homo sapiens, Mus musculus, and Rattus norvegicus. These identifiers may be used to specify gene, RNA, microRNA, or protein abundances. Single character encoding following each value specify which abundance types are valid. ","HUGO Gene Nomenclature Committee (HGNC) approved gene symbols. These symbols may be used to specify human gene, RNA, microRNA and protein abundances. Single character encoding following each value specify which abundance types are valid.","Mouse Genome Informatics (MGI) approved gene symbols. These symbols may be used to specify mouse gene, RNA, microRNA and protein abundances. Single character encoding following each value specify which abundance types are valid.","Rat Genome Database (RGD) approved gene symbols. These symbols may be used to specify rat gene, RNA, microRNA and protein abundances. Single character encoding following each value specify which abundance types are valid.","Swiss-Prot database entry names for Homo sapiens, Mus musculus, and Rattus norvegicus. These may be used to specify gene, RNA and protein abundances. Single character encoding following each value specify which abundance types are valid.","Swiss-Prot database accession numbers for Homo sapiens, Mus musculus, and Rattus norvegicus. These may be used to specify gene, RNA and protein abundances. Single character encoding following each value specify which abundance types are valid.","Affymetrix probe set identfiers for 3' IVT expression analysis arrays (HG U133 Plus 2.0, HG U133 Set, HG U95Av2, MG 430 2.0, MG 430A 2.0, MG 430 Set, MG U74 Set, RG 230 2.0, RG 230 Set). These identifiers may be used to specify RNA abundance.",Medical Subject Headings (MeSH) from the Diseases [C] branch. These headings may be used to specify pathologies.,"Medical Subject Headings (MeSH) from the Phenomena and Processes [G] branch, excluding the [G01], [G02], [G15], and [G17] sub-branches. These headings may be used to specify biological processes.",Disease names from the Disease Ontology (DO). These names may be used to specify pathologies.,Selventa legacy names for diseases. It is not recommended that new BEL Documents include reference to any of these legacy namespaces.,The Gene Ontology (GO) names for biological process. These names may be used to represent biological processes.,The Gene Ontology (GO) identifiers for biological process. These IDs may be used to represent biological processes.,Chemical Entities of Biological Interest (ChEBI) unique names. The values used are the ChEBI ASCII Names. These names may be used to specify abundances.,Chemical Entities of Biological Interest (ChEBI) unique identifiers. These identifiers may be used to specify abundances.,PubChem Compound Identifiers . These identifiers may be used to specify abundances.,"Selventa names for chemicals, drugs, and other molecule abundances. It is not recommended that new BEL Documents include reference to any of these legacy namespaces.",Medical Subject Headings (MeSH) names for cellular locations [branch A11.284].,Gene Ontology (GO) cellular component identifiers. These terms may be used to represent cellular components as well as complex abundances.,Gene Ontology (GO) cellular component names. These terms may be used to represent cellular components as well as complex abundances.,List of named complexes that are frequently used and/or are well characterized such as the Nfkb Complex.,List of named complexes that are frequently used and/or are well characterized such as the Nfkb Complex.,List of named complexes that are frequently used and/or are well characterized such as the Nfkb Complex.
.belns,[Namespace],VersionString,,,,,,,,,,,,,,,,,,,,,,,,
.belns,[Namespace],CreatedDateTime,,,,,,,,,,,,,,,,,,,,,,,,
.belns,[Namespace],QueryValueURL,,http://www.ncbi.nlm.nih.gov/gene/[VALUE],http://www.genenames.org/data/hgnc_data.php?match=[VALUE],http://www.informatics.jax.org/searchtool/Search.do?query=[VALUE],http://rgd.mcw.edu/rgdweb/search/genes.html?term=[VALUE]&speciesType=3,http://www.uniprot.org/uniprot/[VALUE],http://www.uniprot.org/uniprot/[VALUE],,http://www.nlm.nih.gov/cgi/mesh/2012/MB_cgi?mode=&term=[VALUE]&field=entry,http://www.nlm.nih.gov/cgi/mesh/2012/MB_cgi?mode=&term=[VALUE]&field=entry,,N/A,http://amigo.geneontology.org/cgi-bin/amigo/search.cgi?search_query=[VALUE]&search_constraint=term&exact_match=1&action=new-search,http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:[VALUE],http://www.ebi.ac.uk/chebi/searchFreeText.do?searchString=[VALUE],http://www.ebi.ac.uk/chebi/searchId.do?chebiId=[VALUE],,N/A,http://www.nlm.nih.gov/cgi/mesh/2012/MB_cgi?mode=&term=[VALUE]&field=entry,http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:[VALUE],http://amigo.geneontology.org/cgi-bin/amigo/search.cgi?search_query=[VALUE]&search_constraint=term&exact_match=1&action=new-search,N/A,N/A,N/A
.belns,[Author],NameString,OpenBEL,OpenBEL,OpenBEL,OpenBEL,OpenBEL,OpenBEL,OpenBEL,OpenBEL,OpenBEL,OpenBEL,OpenBEL,OpenBEL,OpenBEL,OpenBEL,OpenBEL,OpenBEL,OpenBEL,OpenBEL,OpenBEL,OpenBEL,OpenBEL,OpenBEL,OpenBEL,OpenBEL
